S NO,APPLN NO,AGGREGATE MARK,GENERAL RANK,GOVT RANK,COLLEGE CODE,BRANCH CODE,ALLOTTED CATEGORY
1,355678,184,15613,373,2711,AD,MBC
2,380992,183.5,16060,397,2621,CS,OC
3,297994,180,20628,585,2735,AD,OC
4,406588,179.505,20822,597,3830,EC,OC
5,376916,179.5,20995,611,2706,SC,OC
6,264149,178.5,22449,678,4957,CS,BC
7,388204,178.5,22667,690,1399,CS,SC
8,362583,178,22982,701,1210,CS,BC
9,344778,178,23375,725,5901,EC,SC
10,349531,177.76,23550,731,2641,IT,OC
11,359948,176,26363,877,2621,CS,OC
12,367001,175,27315,938,1324,CS,MBC
13,268912,175,27491,952,2702,CD,OC
14,332808,174.01,28661,1027,2711,CD,BC
15,254154,174,28966,1048,2618,CS,BC
16,244833,173,30155,1140,2702,FD,OC
17,345911,173,30600,1176,1324,IT,MBC
18,322154,172,31886,1262,2609,CY,OC
19,240217,172,31906,1264,1013,CS,MBC
20,366271,171.395,32974,1329,2377,CE,SCA
21,405643,170.685,33755,1402,2702,AL,MBC
22,267828,170.605,33774,1408,1014,CS,BC
23,259906,170.5,34181,1438,5986,EC,OC
24,300133,170.5,34209,1442,2764,AM,OC
25,404275,170.5,34299,1451,2615,EE,SC
26,308285,170,34626,1478,2710,IT,MBC
27,270916,170,34916,1498,2711,AL,OC
28,258958,170,34996,1506,1128,CS,BC
29,242696,169.615,35171,1521,3011,CS,SC
30,311285,169.5,35476,1543,2711,AL,BC
31,298575,168.545,36722,1652,2712,AE,BC
32,302320,167.5,38586,1805,4929,CS,OC
33,367513,167.5,38612,1808,2723,CS,OC
34,297267,167,39237,1864,2711,CD,MBC
35,270400,165.5,41510,2064,2711,EE,BC
36,352957,164.5,42913,2180,2025,CS,SC
37,273466,164.24,43415,2220,5009,CE,OC
38,324743,164.045,43441,2223,1237,CS,OC
39,258478,163.815,44118,2273,3019,CS,OC
40,333801,163.5,44477,2310,1013,IT,OC
41,270787,163.5,44662,2324,2708,CE,OC
42,381845,163,45321,2396,1113,IT,MBC
43,344550,162.955,45583,2408A,3830,CS,BC
