S NO,APPLN NO,COMMUNITY,AGGREGATE MARK,GENERAL RANK,COLLEGE CODE,BRANCH CODE,ALLOTTED CATEGORY
1,384428,MBC,197,1468,2025,AD,MBC
2,378803,BCM,195.5,2295,2740,AD,OC
3,269147,BC,195.5,2348,2722,IT,BC
4,427679,BC,195.5,2372,4976,ME,OC
5,277965,BC,195.5,2548,1419,AD,BC
6,384730,BC,195,2882,2006,MS,BC
7,372461,BC,194.5,3163,2656,AD,BC
8,231511,BC,193.5,3772,1211,EE,BC
9,324493,BC,193.5,3808,3011,CS,BC
10,257025,BC,193,4316,1317,IT,BC
11,286674,BC,192.5,4754,2630,CS,OC
12,324591,MBC,192.5,4815,2702,AL,MBC
13,234519,BC,192,5063,2618,IT,OC
14,294643,MBC,192,5327,2711,CS,MBC
15,253801,OC,191.5,5394,3011,IT,OC
16,315565,MBC,191.5,5430,2764,IT,MBC
17,349019,BC,191.5,5685,2005,CE,BC
18,250991,MBC,191.5,5693,1311,AD,OC
19,379765,SCA,191.5,5804,2005,EE,SCA
20,242783,BCM,191,6334,2007,CE,BCM
21,427481,BC,190.75,6402,2635,CS,OC
22,212171,BCM,190.5,6425,2751,CS,OC
23,362532,BC,190.5,6470,4955,EC,OC
24,216448,BC,190.5,6662,1504,CS,OC
25,258675,BC,190.5,6836,2719,CS,BC
26,337658,BC,190,7053,2711,EC,BC
27,235752,MBC,190,7056,3011,IT,OC
28,384556,BC,190,7415,2603,EC,BC
29,373207,MBC,190,7437,3465,CS,MBC
30,281149,MBC,190,7458,1419,CS,MBC
31,376889,MBC,190,7540,3011,CS,MBC
32,228259,MBC,189.5,7866,1419,CS,MBC
33,337823,MBC,189.5,7969,1311,AD,OC
34,394314,BC,189.5,8044,4965,CS,OC
35,286754,BC,189.5,8087,5910,CS,BC
36,226125,MBC,189.5,8168,1,MI,MBC
37,222043,OC,189.435,8175,1442,CS,OC
38,405735,BC,189.38,8179,1419,EC,BC
39,211774,MBC,189,8211,2702,EC,MBC
40,252932,BC,189,8241,1149,CS,OC
41,317947,BC,189,8283,3464,CS,OC
42,246774,MBC,189,8378,5910,IT,OC
43,241245,BC,189,8699,1216,IT,OC
44,357199,MBC,188.5,8798,2025,AD,MBC
45,318334,BC,188.5,8872,1324,EC,OC
46,359821,MBC,188.5,8942,1419,AM,MBC
47,314283,BC,188.5,8945,2729,EC,OC
48,209991,BC,188.275,9226,3806,IT,OC
49,304189,OC,188,9255,2618,AD,OC
50,269025,BC,188,9288,2618,CS,BC
51,262813,BCM,188,9300,4994,CS,OC
52,429168,BC,188,9389,1317,IT,BC
53,253113,MBC,188,9465,2702,AD,MBC
54,212060,MBC,188,9625,4989,IT,OC
55,227887,MBC,188,9678,1419,EC,MBC
56,373063,BC,188,9696,2711,AD,BC
57,383571,MBC,187.5,9872,1516,CS,MBC
58,348857,MBC,187.5,9895,2618,AD,OC
59,257155,BC,187.5,9920,1026,EC,OC
60,254910,BC,187.5,9942,2711,EC,BC
61,298032,MBC,187.5,10057,2007,CH,MBC
62,333789,MBC,187.5,10058,1211,AE,MBC
63,231867,BC,187.5,10072,4962,CS,BC
64,308600,BC,187.5,10079,5986,CS,BC
65,271768,BC,187.01,10249,1304,EC,BC
66,311859,MBC,187,10389,1315,CE,MBC
67,340477,BC,187,10403,5009,CS,OC
68,307057,MBC,187,10492,2,IS,MBC
69,337533,BCM,187,10598,1510,CS,OC
70,303921,MBC,187,10623,1013,CS,OC
71,303872,BC,187,10634,4,RP,BC
72,266595,MBC,187,10726,1419,IT,MBC
73,327000,BC,186.5,10777,3803,CS,OC
74,251233,BC,186.5,10821,4944,IT,OC
75,232155,MBC,186.5,10861,2702,IT,MBC
76,262384,MBC,186.5,11053,1419,CS,MBC
77,219377,BC,186.5,11157,3,BP,BC
78,420140,BC,186.5,11204,5901,EE,BC
79,294706,BC,186,11367,1112,CS,BC
80,313986,MBC,186,11542,1516,CS,MBC
81,353674,BC,186,11544,2751,EC,OC
82,279702,MBC,186,11564,1113,EC,MBC
83,235880,BC,186,11671,3465,CS,BC
84,350686,BC,186,11742,2,PM,BC
85,259058,OC,186,11852,2710,CD,OC
86,421888,BC,185.505,11885,1126,EV,OC
87,258279,SC,185.5,11897,2712,IT,SC
88,268146,MBC,185.5,11902,1412,CS,OC
89,330335,MBC,185.5,11954,1304,CS,MBC
90,240709,BC,185.5,12123,2006,MS,BC
91,284499,BC,185.5,12214,5009,CS,OC
92,237707,BC,185.5,12294,2025,EC,BC
93,207317,BC,185.5,12324,5842,CS,OC
94,329544,BC,185.5,12362,1419,IT,BC
95,280078,BCM,185.5,12364,5986,AD,BCM
96,345374,BC,185.425,12414,2711,AD,BC
97,422545,MBC,185,12447,2618,AD,OC
98,321705,BCM,185,12498,4954,IT,OC
99,411077,MBC,185,12742,4680,CE,OC
100,253358,BC,185,12845,4962,EC,OC
101,270278,MBC,185,12961,2709,EC,MBC
102,242026,MBC,184.5,13032,1412,CS,OC
103,309603,MBC,184.5,13044,1432,EC,MBC
104,266678,BC,184.5,13100,2722,EC,BC
105,405459,BC,184.5,13104,2722,EC,BC
106,239013,BCM,184.5,13207,4020,EC,OC
107,420497,MBC,184.5,13212,1127,CS,OC
