S NO,APPLN NO,AGGREGATE MARK,GENERAL RANK,COMMUNITY,COLLEGE CODE,BRANCH CODE,ALLOTTED CATEGORY
1,463708,197.500,1691,SC,4,RP,SC
2,306647,197.500,1876,BCM,2708,EC,OC
3,397601,197.500,1943,MBC,1014,CE,OC
4,449573,197.000,2154,MBC,5,CS,OC
5,391986,197.000,2159,MBC,2,PM,MBC
6,216258,197.000,2193,MBC,1113,IT,MBC
7,394542,196.500,2724,MBC,1407,CS,OC
8,332611,196.500,2725,BC,2750,EC,BC
9,483591,196.500,2870,BC,2750,EE,OC
10,336900,196.500,2888,BC,2618,IT,BC
11,279515,196.500,3006,BC,1419,EC,BC
12,479560,196.500,3041,BC,3843,ME,OC
13,353683,196.500,3060,MBC,1422,CS,MBC
14,249570,196.500,3099,BC,1422,AD,BC
15,368181,196.000,3300,MBC,1216,AD,MBC
16,370922,196.000,3396,MBC,2603,EE,MBC
17,245835,196.000,3492,BC,2750,AD,BC
18,346608,196.000,3561,BC,1419,AM,BC
19,237194,196.000,3741,BC,2610,AD,OC
20,469543,195.500,3806,MBC,2653,EC,OC
21,200615,195.500,3930,MBC,1412,CS,OC
22,262889,195.500,3931,BC,1419,IT,BC
23,273363,195.500,3945,MBC,3795,EC,OC
24,388836,195.500,4048,OC,1422,EI,OC
25,420903,195.500,4139,SC,2702,EE,SC
26,308321,195.500,4325,MBC,3425,AD,OC
27,475786,195.500,4383,BC,1516,EC,BC
28,352229,195.500,4412,BC,5910,CS,BC
29,466274,195.500,4466,MBC,3011,CF,MBC
30,293470,195.000,4899,OC,2006,TT,OC
31,380723,195.000,4974,BC,1317,IT,BC
32,477287,195.000,5102,MBC,1210,EC,OC
33,358458,195.000,5184,MBC,2615,CE,MBC
34,211509,194.667,5259,BC,1419,AM,BC
35,432152,194.500,5410,MBC,2673,CS,OC
36,421734,194.500,5560,MBC,1317,EC,MBC
37,282187,194.500,5595,MBC,1322,CS,OC
38,284030,194.500,5752,BC,1422,AD,BC
39,338407,194.500,5773,BC,2611,EC,OC
40,353702,194.500,5942,MBC,5010,CS,MBC
41,344701,194.500,5959,MBC,2025,EE,MBC
42,285253,194.000,6194,BC,2708,EC,OC
43,231964,194.000,6500,MBC,2719,EC,MBC
44,223156,194.000,6553,BC,1419,EC,BC
45,243834,194.000,6700,BC,1140,EC,OC
46,242769,194.000,6706,MBC,1419,CS,MBC
47,383977,194.000,6822,MBC,1317,CS,MBC
48,470656,193.500,6876,BC,2702,EI,BC
49,336681,193.500,7034,MBC,2603,EE,MBC
50,385560,193.500,7051,MBC,1422,CS,MBC
51,449649,193.500,7077,MBC,1216,AD,MBC
52,222566,193.500,7108,BCM,1409,BT,OC
53,295785,193.500,7185,BC,2750,EC,BC
54,334475,193.500,7236,BC,2618,SC,OC
55,333931,193.500,7338,BC,1516,EC,BC
56,332444,193.500,7341,MBC,2750,CS,MBC
57,268494,193.500,7438,BCM,2726,CS,OC
58,423408,193.500,7444,MBC,2750,AM,MBC
59,342005,193.500,7495,MBC,1014,CS,MBC
60,500402,193.000,7715,BC,2711,EE,BC
61,312704,193.000,7781,BC,4974,CE,OC
62,305503,193.000,7845,BC,5910,AM,BC
63,274363,193.000,7868,BC,1149,CS,BC
64,420916,193.000,7888,BC,2708,CS,BC
65,323827,193.000,7940,MBC,3701,AD,OC
66,379038,193.000,7959,SC,1,XM,SC
67,377529,193.000,8011,BC,1419,EC,BC
68,351980,193.000,8019,MBC,2769,AD,OC
69,217750,193.000,8098,MBC,2711,EC,MBC
70,274805,193.000,8432,MBC,2740,AD,MBC
71,250150,192.500,8514,BC,2,LE,OC
72,401327,192.500,8599,BC,1114,CS,OC
73,241040,192.500,8658,BC,4678,CS,OC
74,228663,192.500,8690,BC,2736,AD,BC
75,398559,192.500,8741,MBC,2726,AD,OC
76,313594,192.500,8742,BC,5986,IT,BC
77,479624,192.500,8756,SC,2709,IT,SC
78,285532,192.500,8808,SC,2750,AD,SC
79,258980,192.500,8816,MBC,1321,MN,OC
80,304623,192.500,8901,MBC,1419,AM,MBC
81,340201,192.500,9069,MBC,3011,CF,MBC
82,443786,192.500,9290,MBC,1216,AD,MBC
83,355762,192.000,9465,MBC,3464,EC,MBC
84,422371,192.000,9499,BC,2618,IT,BC
85,323182,192.000,9513,BC,1211,ME,BC
86,342010,192.000,9589,MBC,2025,ME,OC
87,496663,192.000,9667,MBC,2704,CS,OC
88,425404,192.000,9675,MBC,2608,EV,OC
89,476712,192.000,9724,BC,1126,CS,OC
90,263935,192.000,9842,MBC,2607,AD,OC
91,304054,192.000,9887,BC,4020,CS,BC
92,437406,192.000,9956,MBC,1516,RM,OC
93,311347,192.000,10077,BC,1516,EC,BC
94,385005,192.000,10118,BC,2725,AD,OC
95,258091,192.000,10145,BC,3801,CS,OC
96,292246,191.500,10262,BC,2719,EI,BC
97,469962,191.500,10290,BC,3011,CF,BC
98,327513,191.500,10325,MBC,2743,AD,OC
99,284253,191.500,10335,OC,2736,CB,OC
100,260820,191.500,10350,BC,2725,IT,OC
101,464903,191.500,10383,SC,2673,IT,OC
102,359860,191.500,10418,MBC,1408,CS,OC
103,437007,191.500,10459,MBC,3011,CF,MBC
104,439607,191.500,10584,MBC,1128,CS,OC
105,431343,191.500,10661,MBC,3011,AM,MBC
106,401472,191.500,10677,SC,1211,CS,SC
107,346400,191.500,10709,MBC,4960,EC,MBC
108,468025,191.500,10911,BC,3803,CS,OC
109,408082,191.500,10925,BCM,5,AM,OC
110,487015,191.500,11016,MBC,2025,EE,MBC
111,431071,191.500,11040,MBC,1014,IT,OC
112,232193,191.000,11136,MBC,2615,ME,MBC
113,298831,191.000,11184,BC,2369,IT,BC
114,280444,191.000,11336,BC,1419,IT,BC
115,294095,191.000,11372,BC,3011,CF,BC
116,310070,191.000,11405,BC,2718,ME,BC
117,319514,191.000,11671,BC,2764,BM,BC
118,354425,191.000,11855,BC,5910,CS,BC
119,430537,190.500,12034,MBC,1413,AD,OC
120,484987,190.500,12110,MBC,2706,CS,MBC
121,351114,190.500,12124,OC,1419,CE,OC
122,372423,190.500,12131,MBC,1419,CS,MBC
123,398502,190.500,12146,MBC,1110,IT,OC
124,418283,190.500,12225,MBC,1412,AD,OC
125,492086,190.500,12227,MBC,4020,CS,MBC
126,326057,190.500,12384,BC,2622,EC,OC
127,203746,190.500,12435,OC,1309,IT,OC
128,395754,190.500,12446,SC,3011,EC,SC
129,321932,190.500,12519,MBC,1113,EC,MBC
130,366537,190.500,12575,BC,2741,EC,OC
131,318059,190.500,12610,MBC,1216,EC,MBC
132,452460,190.500,12636,MBC,2743,AD,OC
133,270037,190.500,12677,MBC,1317,CS,MBC
