S NO,GENERAL RANK,AGGREGATE MARK,COLLEGE CODE,BRANCH CODE,ALLOTTED COMMUNITY
1,1,199.7,1,CS,OC
2,2,199.7,1,CS,OC
3,3,199.5,2006,CM,OC
4,5,199.5,1,CS,OC
5,6,199.3,1,CS,OC
6,7,199.3,4,AE,OC
7,8,199.3,1,CS,OC
8,9,199.0,1,CS,OC
9,11,199.0,1,EC,OC
10,12,199.0,1,CS,OC
11,16,199.0,1,CS,OC
12,18,198.8,1,EC,OC
13,19,198.8,1,CS,OC
14,20,198.8,1,CS,OC
15,21,198.7,1,CS,OC
16,23,198.5,1315,CS,OC
17,28,198.5,1,CS,OC
18,30,198.5,1,CS,OC
19,31,198.5,1,CS,OC
20,32,198.5,1,CS,OC
21,34,198.5,1,CS,OC
22,35,198.2,1,CS,OC
23,37,198.2,1,BY,OC
24,40,198.0,1,CS,MBC
25,41,198.0,1,CS,BC
26,42,198.0,1,EM,OC
27,43,198.0,1,CM,OC
28,48,198.0,1,CS,BC
29,52,198.0,1,ME,OC
30,54,198.0,1,CS,BC
31,57,198.0,4,CS,OC
32,58,197.8,1,CS,BC
33,61,197.8,1,CS,BC
34,62,197.7,2006,CM,OC
35,63,197.7,1315,CS,OC
36,64,197.5,1,CM,OC
37,65,197.5,1,CS,BC
38,68,197.5,1,CS,BCM
39,70,197.5,1,CS,BC
40,71,197.5,1,CS,BC
41,72,197.5,1,CM,OC
42,73,197.5,1315,BM,OC
43,75,197.5,1,CM,OC
44,76,197.5,1,CM,OC
45,77,197.5,1,CS,BC
46,78,197.5,1315,BM,OC
47,79,197.5,1,EC,OC
48,82,197.5,1,EC,OC
49,83,197.5,1,CS,BC
50,84,197.5,1,EC,OC
51,85,197.5,1,CS,BC
52,88,197.5,1,CS,BC
53,90,197.3,1,CS,BC
54,94,197.0,1,EC,OC
55,95,197.0,1315,CS,OC
56,96,197.0,2006,CM,OC
57,99,197.0,2006,ME,OC
58,100,197.0,1315,CS,OC
59,101,197.0,1,EC,OC
60,102,197.0,1,IM,OC
61,103,197.0,1,CM,OC
62,104,197.0,2006,CM,OC
63,105,197.0,1,CS,BC
64,108,197.0,4,CS,OC
65,109,197.0,1,CM,OC
66,111,197.0,1,CE,OC
67,115,197.0,1,EC,OC
68,117,197.0,1,CM,OC
69,118,197.0,1,CM,OC
70,121,197.0,4,MF,OC
71,122,197.0,1,EC,OC
72,124,197.0,1,CM,OC
73,125,197.0,1,CM,OC
74,127,197.0,1,EC,OC
75,128,196.8,1,EE,OC
76,130,196.8,1,CE,OC
77,133,196.8,1,EC,OC
78,135,196.7,1,EC,OC
79,136,196.5,1,CM,OC
80,137,196.5,1,CM,OC
81,139,196.5,4,CS,OC
82,140,196.5,2007,CS,OC
83,142,196.5,1,CM,OC
84,143,196.5,1,CS,MBC
85,144,196.5,1,CM,OC
86,145,196.5,1,EC,OC
87,146,196.5,1,EC,OC
88,147,196.5,2,IB,OC
89,148,196.5,1,ME,OC
90,149,196.5,1315,CS,OC
91,150,196.5,5008,CS,OC
92,152,196.5,1,CM,OC
93,153,196.5,2,IB,OC
94,155,196.5,1,EC,OC
95,156,196.5,1,EC,OC
96,157,196.5,1,CM,OC
97,159,196.5,1,CM,OC
98,160,196.5,1,CM,OC
99,161,196.5,4,CS,OC
100,162,196.5,5012,CC,OC
101,163,196.5,1,EC,OC
102,165,196.5,1,CM,OC
103,166,196.5,1,CM,OC
104,167,196.5,1,EC,BC
105,168,196.5,2615,EC,OC
106,170,196.5,1,CM,OC
107,171,196.5,2006,EE,OC
108,173,196.5,1,CS,MBC
109,174,196.5,1,CM,OC
110,176,196.5,1,CS,BCM
111,177,196.5,1,CM,OC
112,178,196.5,1,EC,BC
113,181,196.3,1,CM,OC
114,182,196.2,1,CM,OC
115,183,196.2,4,CS,OC
116,184,196.2,1,CM,OC
117,186,196.0,4,CS,OC
118,187,196.0,4,AE,OC
119,188,196.0,2006,CM,OC
120,189,196.0,2006,CM,OC
121,192,196.0,1,EC,BC
122,193,196.0,1,EC,MBC
123,194,196.0,1,CM,OC
124,195,196.0,1,EE,OC
125,197,196.0,1,CS,MBC
126,198,196.0,1,CM,OC
127,199,196.0,1,CM,OC
128,200,196.0,4,CS,OC
129,203,196.0,2006,EC,OC
130,206,196.0,1315,CS,OC
131,209,196.0,1,CM,OC
132,210,196.0,1,CS,MBC
133,213,196.0,1,CM,OC
134,214,196.0,2,CH,OC
135,215,196.0,2006,CM,OC
136,216,196.0,1,CM,OC
137,219,196.0,2006,BS,OC
138,222,196.0,1315,CS,OC
139,223,196.0,1,CM,OC
140,224,196.0,2,CH,OC
141,225,196.0,2006,ME,OC
142,226,196.0,1,EE,OC
143,227,196.0,2,IB,OC
144,229,196.0,1,EC,BC
145,233,196.0,2,IB,OC
146,236,196.0,1,EM,OC
147,237,196.0,1,EE,OC
148,239,196.0,1,CM,OC
149,241,196.0,2,IB,OC
150,243,196.0,4,CS,OC
151,244,195.8,1,CS,MBC
152,245,195.7,5012,CC,OC
153,246,195.7,1,EC,BC
154,248,195.5,1,EC,BC
155,249,195.5,1,CM,BC
156,252,195.5,1,EE,OC
157,253,195.5,1,CM,BC
158,254,195.5,1,EE,OC
159,256,195.5,1,ME,OC
160,257,195.5,2006,CM,OC
161,260,195.5,1,EM,OC
162,262,195.5,4,CS,OC
163,263,195.5,1,CM,BC
164,264,195.5,1,EM,OC
165,265,195.5,1,CM,BC
166,268,195.5,2006,CM,OC
167,269,195.5,1,IM,OC
168,270,195.5,1,BY,OC
169,271,195.5,1,CM,BC
170,273,195.5,1,IM,OC
171,274,195.5,4,CS,OC
172,275,195.5,4,CS,OC
173,276,195.5,1,EM,OC
174,277,195.5,2007,CS,OC
175,278,195.5,1,CM,BC
176,279,195.5,1,IM,OC
177,280,195.5,1,EC,BC
178,281,195.5,1,CM,BC
179,282,195.5,1,GI,OC
180,284,195.5,2006,CM,OC
181,285,195.5,1,EC,BC
182,288,195.5,1315,CS,OC
183,289,195.5,4,CS,OC
184,290,195.5,1,CS,MBC
185,292,195.5,1315,CS,OC
186,293,195.5,1,CM,BC
187,294,195.5,1,EM,OC
188,297,195.5,1,CM,BC
189,298,195.5,4,CS,OC
190,299,195.5,1,EE,OC
191,300,195.5,1,BY,OC
192,301,195.5,1,CS,ST
193,302,195.5,1,CS,MBC
194,304,195.3,1,CM,BC
195,305,195.3,1,EC,BC
196,306,195.3,1315,CS,OC
197,307,195.2,2025,EC,OC
198,308,195.2,4,AE,OC
199,309,195.2,1,CE,OC
200,310,195.2,5008,CS,OC
201,311,195.0,1,EE,OC
202,312,195.0,1,EE,OC
203,313,195.0,1,CM,BC
204,314,195.0,1,CM,BC
205,315,195.0,4,CS,OC
206,316,195.0,2006,ME,OC
207,317,195.0,1,EM,OC
208,318,195.0,1,CM,BC
209,320,195.0,1,CM,BC
210,322,195.0,1,CM,BC
211,324,195.0,1,CM,BC
212,325,195.0,1,CS,MBC
213,326,195.0,1,CM,BC
214,327,195.0,1,CM,BC
215,330,195.0,1,CS,MBC
216,333,195.0,1,EM,OC
217,334,195.0,4,CS,OC
218,335,195.0,1,CM,BC
219,337,195.0,4,CS,OC
220,339,195.0,4,CS,OC
221,341,195.0,4,CS,OC
222,342,195.0,4,AU,OC
223,346,195.0,1,CM,BC
224,347,195.0,1315,CS,OC
225,348,195.0,1,CM,BC
226,349,195.0,1,EM,OC
227,351,195.0,4,CS,OC
228,353,195.0,4,AE,OC
229,354,195.0,2006,EC,OC
230,355,195.0,1,CM,BC
231,356,195.0,1,CE,OC
232,358,195.0,2712,EC,OC
233,359,195.0,1,CM,MBC
234,360,195.0,2636,ME,OC
235,361,195.0,1,EE,OC
236,362,195.0,1315,CS,OC
237,363,195.0,1,CM,BC
238,364,195.0,1,CS,MBC
239,365,195.0,1,CM,BCM
240,366,195.0,1,CS,SC
241,369,195.0,1315,CS,OC
242,371,195.0,1,IM,OC
243,372,195.0,4,CS,MBC
244,373,195.0,1,CM,BC
245,374,195.0,1,CM,BC
246,376,195.0,4,MF,OC
247,377,195.0,1315,CS,OC
248,378,195.0,1,EC,BC
249,379,195.0,2006,EC,OC
250,380,195.0,4,EC,OC
251,381,195.0,2,CH,OC
252,382,195.0,1,CM,MBC
253,385,195.0,1,CM,BC
254,386,195.0,4,CS,MBC
255,387,195.0,1,EC,BC
256,389,195.0,2006,ME,OC
257,390,195.0,2006,EE,OC
258,391,195.0,1,EC,BC
259,392,195.0,2006,CM,OC
260,393,195.0,1,EC,BC
261,394,195.0,4,CS,MBC
262,395,195.0,1,BY,OC
263,397,195.0,2006,BS,OC
264,399,194.8,4,CS,BC
265,402,194.8,1,CM,MBC
266,402,194.7,2006,ME,OC
267,403,194.7,1,EC,BC
268,404,194.5,2006,CM,OC
269,406,194.5,1,CM,BC
270,407,194.5,2006,EC,OC
271,408,194.5,1,CM,BC
272,411,194.5,4,CS,BC
273,412,194.5,4,AE,OC
274,413,194.5,1,EC,BC
275,414,194.5,1,IM,OC
276,415,194.5,1,IM,OC
277,418,194.5,4,CS,BC
278,420,194.5,1,IM,OC
279,421,194.5,3830,CS,OC
280,422,194.5,4,AE,OC
281,423,194.5,1,IM,OC
282,425,194.5,4,CS,BC
283,426,194.5,1,EM,OC
284,429,194.5,1,IM,OC
285,432,194.5,1,IM,OC
286,433,194.5,1,EC,BC
287,434,194.5,1,EM,OC
288,435,194.5,1,IM,OC
289,437,194.5,2006,CM,OC
290,438,194.5,1,EM,OC
291,439,194.5,1,ME,OC
292,440,194.5,1,ME,OC
293,441,194.5,1,EM,OC
294,443,194.5,1,EM,OC
295,444,194.5,2006,CM,OC
296,445,194.5,1,EE,OC
297,446,194.5,4,CS,BC
298,447,194.5,2006,EC,OC
299,448,194.5,1,IM,OC
300,449,194.5,1,CM,BCM
301,450,194.5,2006,TX,OC
302,454,194.5,1,ME,OC
303,455,194.5,2006,CM,OC
304,456,194.5,1,IM,OC
305,457,194.5,1,IM,OC
306,462,194.5,1,IM,OC
307,463,194.5,1,BY,OC
308,465,194.5,1,CM,MBC
309,468,194.5,1,IM,OC
310,469,194.5,2006,CM,OC
311,470,194.5,4,CS,BC
312,474,194.3,1,CM,MBC
313,475,194.3,1315,CS,OC
314,476,194.3,4,CS,BC
315,477,194.2,4,CS,BC
316,479,194.2,2006,CM,OC
317,480,194.2,1,EE,OC
318,481,194.2,1315,EC,OC
319,482,194.2,5008,EE,OC
320,483,194.2,1,EC,MBC
321,484,194.0,1315,EC,OC
322,485,194.0,1315,CS,OC
323,486,194.0,2006,EC,OC
324,487,194.0,1,IM,OC
325,488,194.0,2,CH,OC
326,489,194.0,4,CM,OC
327,490,194.0,4,EC,OC
328,491,194.0,1,CM,BCM
329,492,194.0,2,CH,OC
330,493,194.0,4,CM,OC
331,494,194.0,4,CS,BC
332,495,194.0,2,CH,OC
333,497,194.0,2,IB,OC
334,499,194.0,1,EM,OC
335,500,194.0,1,EC,MBC
336,501,194.0,1,IM,OC
337,502,194.0,1,IM,OC
338,504,194.0,1315,CS,OC
339,505,194.0,1,EM,OC
340,506,194.0,4,CS,BC
341,507,194.0,1,EM,OC
342,508,194.0,1,CM,MBC
343,509,194.0,2006,CM,OC
344,510,194.0,1,EC,MBC
345,511,194.0,4,CS,BC
346,513,194.0,1,EM,OC
347,516,194.0,1,CM,MBC
348,517,194.0,1,IM,OC
349,520,194.0,1,IM,OC
350,521,194.0,4,CS,BC
