S NO,AGGREGATE MARK,GENERAL RANK,COLLEGE CODE,BRANCH CODE,ALLOTTED COMMUNITY
1,182.0,7907,2736,EE,OC
2,181.5,8091,3465,CE,MBC
3,179.0,9531,1217,BT,OC
4,174.5,12369,2610,MD,OC
5,174.5,12430,5009,EE,MBC
6,173.8,12880,3465,EE,SC
7,173.5,13054,2709,AU,OC
8,171.0,14691,1501,EE,OC
9,170.0,15250,2750,CS,MBC
10,169.5,15653,2708,AE,BCM
11,167.5,17278,3011,CE,BC
12,166.0,18268,2607,NS,OC
13,165.0,18885,1324,ME,OC
14,164.5,19284,1432,CO,BC
15,164.0,19599,1216,EC,MBC
16,164.0,19833,2750,ME,OC
17,163.7,19919,1122,EC,OC
18,163.5,19986,2726,AG,MBC
19,163.5,20032,2716,BM,MBC
20,163.5,20059,1413,CS,BC
21,163.5,20190,1304,CE,OC
22,163.0,20447,3410,CS,MBC
23,163.0,20561,1399,EC,SC
24,162.0,21260,2601,IT,MBC
25,161.5,21568,3011,PC,BC
26,161.5,21596,5022,CS,BC
27,161.0,21990,4917,EE,OC
28,161.0,22098,2702,BT,SC
29,160.5,22523,2708,AE,BC
30,160.5,22529,1212,PE,OC
31,159.5,23313,5,EC,BC
32,159.0,23760,3786,AE,OC
33,158.0,24476,3021,CS,BC
34,157.0,25361,1122,AD,MBC
35,156.5,25606,2750,ME,OC
36,156.5,25640,1237,AD,BC
37,156.0,25835,2327,EE,OC
38,156.0,26058,2603,ME,SC
39,155.5,26527,2764,EE,BC
40,155.0,26982,3795,EC,OC
41,154.5,27473,1149,EC,BCM
42,154.0,27553,2750,ME,OC
43,153.5,27956,2622,IT,BCM
44,152.5,28840,2702,ME,MBC
45,152.5,29004,3806,EC,OC
46,152.0,29172,2710,EE,BC
47,152.0,29226,1307,BM,BC
48,152.0,29274,2611,BM,MBC
49,152.0,29336,2740,AU,OC
50,152.0,29487,5986,ME,BC
51,151.5,29827,2611,MD,OC
52,151.5,29923,1409,BM,SC
53,151.0,30316,1216,MD,OC
54,150.5,30511,1324,CE,OC
55,150.5,30552,2710,TS,BCM
56,150.0,31012,1127,BT,OC
57,150.0,31146,1101,ME,OC
58,149.5,31378,2357,ME,OC
59,149.5,31419,2707,EI,OC
60,149.5,31547,3803,EC,MBC
61,149.5,31573,2603,ME,SC
62,149.0,31714,2601,EE,OC
63,149.0,32001,4020,GI,SC
64,149.0,32039,1304,CS,SCA
65,149.0,32078,5904,IT,MBC
66,149.0,32082,4959,AD,BC
67,148.5,32206,1422,CE,OC
68,148.5,32207,2611,CS,MBC
69,148.0,32828,5017,CS,OC
70,147.5,33426,1422,EE,MBC
71,147.0,33459,3465,CE,BC
72,147.0,33695,2734,AD,BC
73,146.5,34143,1218,BM,OC
74,146.0,34710,4960,CE,BC
75,146.0,34716,2702,ME,BC
76,146.0,34718,2702,ME,MBC
77,145.5,34750,1014,IT,MBC
78,145.5,34759,1106,AE,OC
79,145.5,34779,1014,IT,MBC
80,145.5,34789,1421,CS,OC
81,145.5,34796,2360,CS,OC
82,145.5,34813,2726,BM,BC
83,145.5,34894,2707,AG,MBC
84,145.0,35228,4023,CE,BC
85,145.0,35421,5921,CS,OC
86,145.0,35445,5988,CS,OC
87,145.0,35453,1516,ME,BC
88,145.0,35516,4965,CS,BC
89,145.0,35535,2764,CE,BC
90,145.0,35612,1309,EC,SC
91,144.7,35617,1419,ME,BC
92,144.5,35640,2764,CE,MBC
93,144.5,35649,2751,CS,BC
94,144.5,35653,3908,CS,OC
95,144.5,35668,2715,EC,OC
96,144.5,35683,2727,AG,BC
97,144.5,35704,1324,CE,OC
98,144.5,35762,5,AM,BC
99,144.5,35843,4960,ME,SC
100,144.5,35872,2006,MS,SCA
101,144.5,35994,4989,CS,OC
102,144.5,36066,3011,EE,SC
103,144.0,36092,5921,EC,OC
104,144.0,36188,3021,CS,BC
105,144.0,36223,2709,ME,BC
106,144.0,36252,4928,CE,OC
107,144.0,36266,4962,EC,MBC
108,144.0,36316,1113,EC,SCA
109,144.0,36410,1231,EC,MBC
110,144.0,36418,5009,EC,BCM
111,144.0,36471,3011,CE,BC
112,144.0,36526,5,EC,BC
113,143.5,36544,3011,CS,SCA
114,143.5,36559,5986,ME,BC
115,143.5,36578,4954,CS,BC
116,143.5,36606,2734,AD,BC
117,143.5,36611,2328,CS,BC
118,143.5,36618,2607,EC,BC
119,143.5,36784,2711,EI,MBC
120,143.5,36846,1516,ME,MBC
121,143.5,36893,3011,CE,SC
122,143.5,36899,1210,CE,OC
123,143.5,36923,3806,CS,OC
124,143.5,36986,2618,CE,SC
125,143.0,37023,2329,CS,BC
126,143.0,37038,2769,PD,OC
127,143.0,37108,3701,EE,OC
128,143.0,37298,1014,CE,OC
129,143.0,37393,4976,AG,OC
130,143.0,37450,4960,CE,BC
131,143.0,37451,5,EC,BC
132,142.5,37510,1307,BM,BC
133,142.5,37550,3701,ME,OC
134,142.5,37580,2740,EC,OC
135,142.5,37599,3804,BM,OC
136,142.5,37610,5009,CE,OC
137,142.5,37613,2736,EC,BC
138,142.5,37800,2653,CE,OC
139,142.5,37814,1408,CS,SC
140,142.5,37882,2725,EC,BC
141,142.5,37903,1210,CS,SCA
142,142.0,37943,1150,AG,OC
143,142.0,38016,1013,EC,BC
144,142.0,38074,2653,ME,OC
145,142.0,38144,2739,ME,BC
146,142.0,38192,2706,EE,BC
147,142.0,38193,2739,CS,SC
148,142.0,38205,1317,CE,OC
149,142.0,38246,2734,EC,OC
150,142.0,38257,4976,AG,OC
151,142.0,38309,1516,ME,MBC
152,142.0,38318,2708,FD,BC
153,142.0,38344,3011,EE,SC
154,141.8,38396,2708,CS,MBC
155,141.5,38425,1307,CS,BC
156,141.5,38582,2708,IT,MBC
157,141.5,38618,2607,CS,MBC
158,141.5,38633,2710,SC,ST
159,141.5,38634,2726,CS,MBC
160,141.5,38646,2608,CB,MBC
161,141.5,38718,3011,CS,SCA
162,141.5,38769,4678,EE,OC
163,141.5,38775,1509,CS,MBC
164,141.5,38787,2620,IT,MBC
165,141.5,38815,1210,EE,MBC
166,141.5,38835,2653,CB,BC
167,141.0,38947,3701,ME,OC
168,141.0,38969,4955,EC,SC
169,141.0,39004,4972,EC,OC
170,141.0,39024,1408,EE,OC
171,141.0,39027,4955,ME,OC
172,141.0,39070,1316,CS,BC
173,141.0,39091,1216,ME,OC
174,141.0,39093,2302,AG,OC
175,141.0,39219,1320,CS,BC
176,141.0,39314,4023,CE,BC
177,141.0,39320,1216,CH,OC
178,141.0,39323,2708,EC,OC
179,141.0,39324,2709,CS,SC
180,140.5,39368,1505,CS,OC
181,140.5,39374,1128,AD,SC
182,140.5,39422,2601,EC,OC
183,140.5,39447,1216,MD,OC
184,140.5,39450,1414,CS,MBC
185,140.5,39455,3831,EC,OC
186,140.5,39515,3805,EE,OC
187,140.5,39518,2610,CS,BC
188,140.5,39521,3826,CE,MBC
189,140.5,39528,2711,EE,SC
190,140.5,39593,2750,ME,OC
191,140.5,39594,1419,EI,MBC
192,140.5,39723,2601,CH,OC
193,140.5,39780,1106,AE,OC
194,140.0,39859,1316,AO,OC
195,140.0,39892,3011,PH,SC
196,140.0,39925,2611,EE,OC
197,140.0,39939,3801,IT,MBC
198,140.0,39998,1211,BM,ST
199,140.0,40041,5,AM,SC
200,140.0,40062,2357,ME,OC
201,140.0,40106,3011,EE,MBC
202,140.0,40239,1408,EC,OC
203,140.0,40254,3011,PC,BC
204,140.0,40257,2715,CH,OC
205,140.0,40277,2729,EC,OC
206,139.5,40310,1411,CS,OC
207,139.5,40313,4954,CS,BC
208,139.5,40318,2715,EC,OC
209,139.5,40359,2609,CS,OC
210,139.5,40378,1414,IT,MBC
211,139.5,40464,3701,CS,MBC
212,139.5,40499,3807,CS,BC
213,139.5,40632,2623,BM,BC
214,139.0,40763,4954,CS,MBC
215,139.0,40766,1414,EC,OC
216,139.0,40773,3011,CE,MBC
217,139.0,40775,5022,CS,MBC
218,139.0,40815,2606,EE,OC
219,139.0,40823,1432,EC,BC
220,139.0,40893,2622,CE,MBC
221,139.0,40980,1213,BM,OC
222,139.0,40981,2715,EC,OC
223,139.0,41017,2726,AG,MBC
224,139.0,41024,2725,CS,MBC
225,139.0,41049,1501,CS,OC
226,139.0,41062,3464,ME,SC
227,139.0,41086,3833,CS,OC
228,138.5,41199,1216,EE,BC
229,138.5,41214,2369,EE,BCM
230,138.5,41220,2627,CS,OC
231,138.5,41276,2357,ME,OC
232,138.5,41285,1399,CE,BC
233,138.5,41359,3464,EE,MBC
234,138.5,41383,2613,PH,OC
235,138.5,41421,1317,EI,OC
236,138.5,41478,2736,EC,MBC
237,138.5,41533,4996,ME,OC
238,138.5,41688,1317,IC,OC
239,138.0,41750,2702,EE,SC
240,138.0,41827,1414,IT,SC
241,138.0,41853,2601,IT,BCM
242,138.0,41918,2723,BM,SCA
243,138.0,41925,2716,AE,OC
244,138.0,41963,5910,IT,MBC
245,138.0,41989,1422,EC,MBC
246,138.0,41994,1015,EC,BC
247,138.0,42047,3701,ME,OC
248,138.0,42057,5009,CS,SC
249,138.0,42069,2601,BM,SC
250,138.0,42079,5910,CE,OC
251,138.0,42113,3805,CS,MBC
252,138.0,42120,5,EC,SC
253,138.0,42135,3458,AG,SC
254,138.0,42176,3805,EE,OC
255,137.5,42211,1324,ME,OC
256,137.5,42244,4917,EC,BCM
257,137.5,42292,2621,IT,OC
258,137.5,42295,2357,ME,OC
259,137.5,42358,1,XM,ST
260,137.5,42376,2740,CS,BC
261,137.5,42398,4917,CB,BC
262,137.5,42439,1422,EC,MBC
263,137.5,42475,5910,BM,MBC
264,137.5,42484,2734,EC,OC
265,137.5,42486,2620,BM,BC
266,137.5,42502,1408,IT,OC
267,137.5,42597,3465,CE,MBC
268,137.5,42612,2722,ME,OC
269,137.5,42691,3011,PC,MBC
270,137.0,42707,1149,EC,BC
271,137.0,42740,2628,CS,OC
272,137.0,42766,4917,ME,OC
273,137.0,42767,4944,CS,BC
274,137.0,42852,2702,AD,SC
275,137.0,42878,3011,ME,MBC
276,137.0,42886,1211,ME,SC
277,137.0,42899,2620,CS,BC
278,137.0,42924,2357,EC,BC
279,137.0,42990,1210,EE,MBC
280,137.0,43025,2736,CS,MBC
281,137.0,43026,2722,IC,OC
282,137.0,43081,1310,EC,OC
283,137.0,43113,2722,CS,SC
284,137.0,43116,3805,CS,MBC
285,137.0,43154,3425,EC,SC
286,137.0,43188,2751,EC,OC
287,136.5,43446,5910,ME,OC
288,136.5,43463,4965,EE,OC
289,136.5,43477,1316,BM,BC
290,136.5,43489,2722,CE,MBC
291,136.5,43496,1014,CE,OC
292,136.5,43547,2726,CS,MBC
293,136.5,43589,4917,AG,SC
294,136.5,43622,1317,ME,BC
295,136.5,43623,2607,EC,MBC
296,136.5,43638,2750,ME,OC
297,136.5,43643,4020,GI,SC
298,136.5,43652,3819,EE,OC
299,136.5,43681,5,CS,MBC
300,136.5,43721,5022,CS,MBC
301,136.0,43743,2709,CE,OC
302,136.0,43760,2704,EE,OC
303,136.0,43761,1219,CH,SC
304,136.0,43763,3804,BM,OC
305,136.0,43769,2609,CS,OC
306,136.0,43779,1026,EE,MBC
307,136.0,43788,1516,ME,MBC
308,136.0,43814,1013,EC,MBC
309,136.0,43890,5832,CS,BCM
310,136.0,43925,2758,CS,OC
311,136.0,43958,2708,EC,OC
312,136.0,43993,5,CS,BC
313,136.0,44011,1110,CS,MBC
314,136.0,44062,2722,EE,MBC
315,136.0,44080,1231,AD,MBC
316,136.0,44138,3812,CS,OC
317,136.0,44141,2719,ME,MBC
318,136.0,44196,2601,AE,OC
319,135.5,44265,2729,AD,OC
320,135.5,44276,2369,CE,MBC
321,135.5,44284,2708,EC,OC
322,135.5,44313,3810,CS,OC
323,135.5,44483,2755,FD,OC
324,135.5,44550,2764,CH,BC
325,135.5,44607,1122,CH,BC
326,135.5,44609,1026,CS,SCA
327,135.5,44638,3826,CE,SC
328,135.5,44670,2722,EE,MBC
329,135.5,44692,2715,EC,OC
