S NO,APPLN NO,COMMUNITY,GENERAL RANK,AGGREGATE MARK,COLLEGE CODE,BRANCH CODE,ALLOTTED CATEGORY
1,345635,BC,1,199.6667,1,CS,OC
2,344036,OC,2,199.6667,1,CS,OC
3,229779,BC,3,199.5,2006,CM,OC
4,271122,BC,5,199.5,1,CS,OC
5,224926,BC,6,199.3333,1,CS,OC
6,200129,BC,7,199.3333,4,AE,OC
7,308983,BC,8,199.3333,1,CS,OC
8,354452,OC,9,199,1,CS,OC
9,268580,BCM,11,199,1,EC,OC
10,275741,BC,12,199,1,CS,OC
11,239470,BC,16,199,1,CS,OC
12,336793,BC,18,198.75,1,EC,OC
13,315691,SC,19,198.75,1,CS,OC
14,310889,BC,20,198.75,1,CS,OC
15,233162,MBC,21,198.6667,1,CS,OC
16,210822,MBC,23,198.5,1315,CS,OC
17,259075,OC,28,198.5,1,CS,OC
18,262862,OC,30,198.5,1,CS,OC
19,343736,BC,31,198.5,1,CS,OC
20,339717,OC,32,198.5,1,CS,OC
21,297652,BC,34,198.5,1,CS,OC
22,353317,BC,35,198.25,1,CS,OC
23,357429,BC,37,198.25,1,BY,OC
24,294178,MBC,40,198,1,CS,MBC
25,200160,BC,41,198,1,CS,BC
26,244762,OC,42,198,1,EM,OC
27,262338,OC,43,198,1,CM,OC
28,333623,BC,48,198,1,CS,BC
29,228508,BC,52,198,1,ME,OC
30,273716,BC,54,198,1,CS,BC
31,348142,OC,57,198,4,CS,OC
32,331114,BC,58,197.75,1,CS,BC
33,259429,BC,61,197.75,1,CS,BC
34,262665,BC,62,197.6667,2006,CM,OC
35,224207,OC,63,197.6667,1315,CS,OC
36,227587,OC,64,197.5,1,CM,OC
37,242592,BC,65,197.5,1,CS,BC
38,346526,BCM,68,197.5,1,CS,BCM
39,261346,BC,70,197.5,1,CS,BC
40,283049,BC,71,197.5,1,CS,BC
41,257003,OC,72,197.5,1,CM,OC
42,201119,BC,73,197.5,1315,BM,OC
43,260662,OC,75,197.5,1,CM,OC
44,276347,OC,76,197.5,1,CM,OC
45,204959,BC,77,197.5,1,CS,BC
46,285986,OC,78,197.5,1315,BM,OC
47,304073,OC,79,197.5,1,EC,OC
48,202112,OC,82,197.5,1,EC,OC
49,291963,BC,83,197.5,1,CS,BC
50,207046,OC,84,197.5,1,EC,OC
51,275430,BC,85,197.5,1,CS,BC
52,256545,BC,88,197.5,1,CS,BC
53,246562,BC,90,197.3333,1,CS,BC
54,203531,BC,94,197,1,EC,OC
55,329218,BC,95,197,1315,CS,OC
56,281337,OC,96,197,2006,CM,OC
57,232765,BC,99,197,2006,ME,OC
58,257377,BC,100,197,1315,CS,OC
59,224645,BC,101,197,1,EC,OC
60,308557,BC,102,197,1,IM,OC
61,204426,BC,103,197,1,CM,OC
62,204513,BC,104,197,2006,CM,OC
63,258837,BC,105,197,1,CS,BC
64,311323,OC,108,197,4,CS,OC
65,200030,OC,109,197,1,CM,OC
66,237807,BC,111,197,1,CE,OC
67,285722,BC,115,197,1,EC,OC
68,303494,BC,117,197,1,CM,OC
69,322991,BC,118,197,1,CM,OC
70,284496,BC,121,197,4,MF,OC
71,215103,OC,122,197,1,EC,OC
72,202684,BC,124,197,1,CM,OC
73,325975,OC,125,197,1,CM,OC
74,208311,SC,127,197,1,EC,OC
75,335100,BC,128,196.75,1,EE,OC
76,330641,BC,130,196.75,1,CE,OC
77,334859,SC,133,196.75,1,EC,OC
78,211340,BC,135,196.6667,1,EC,OC
79,322035,BC,136,196.5,1,CM,OC
80,222765,BC,137,196.5,1,CM,OC
81,230048,OC,139,196.5,4,CS,OC
82,232976,MBC,140,196.5,2007,CS,OC
83,248656,BC,142,196.5,1,CM,OC
84,283886,MBC,143,196.5,1,CS,MBC
85,222362,BC,144,196.5,1,CM,OC
86,242582,BC,145,196.5,1,EC,OC
87,295426,BC,146,196.5,1,EC,OC
88,260512,BC,147,196.5,2,IB,OC
89,325356,BC,148,196.5,1,ME,OC
90,303964,OC,149,196.5,1315,CS,OC
91,337784,BC,150,196.5,5008,CS,OC
92,247307,BC,152,196.5,1,CM,OC
93,272434,OC,153,196.5,2,IB,OC
94,331641,OC,155,196.5,1,EC,OC
95,270390,BC,156,196.5,1,EC,OC
96,242508,BC,157,196.5,1,CM,OC
97,259163,BC,159,196.5,1,CM,OC
98,211694,OC,160,196.5,1,CM,OC
