S NO,APPLN NO,AGGREGATE MARK,GENERAL RANK,COMMUNITY,COLLEGE CODE,BRANCH CODE,ALLOTTED CATEGORY
1,339809,199.5,15,BC,1149,AD,OC
2,317367,197,436,SC,2,CL,SC
3,292209,195.5,1013,BC,1324,CS,OC
4,241046,195.35,1087,BC,3011,IT,OC
5,309601,195.185,1150,OC,1026,CS,OC
6,257604,194.5,1601,BC,2,PP,BC
7,299452,194,1965,OC,2704,CS,OC
8,293095,194,1988,BC,1210,CS,BC
9,327650,194,2002,BC,1211,AE,OC
10,305978,194,2028,BC,1113,CD,OC
11,333478,193.78,2176,BC,2715,EC,OC
12,343496,193.57,2280,BC,2702,AD,BC
13,285272,193.5,2336,OC,2,CR,OC
14,272574,193.43,2469,MBCV,1,PT,MBCV
15,275474,193.22,2591,BC,1118,EC,OC
16,222989,193.22,2592,BCM,2718,EE,BCM
17,255108,193.13,2663,MBCDNC,2025,CS,MBCDNC
18,363212,193.075,2696,BC,2710,CS,OC
19,269511,193.075,2698,BC,1112,CS,BC
20,374471,193.01,2744,MBCDNC,2603,CS,MBCDNC
21,311805,193,2836,MBCV,1210,CS,MBCV
22,304517,193,2853,OC,1321,MN,OC
23,200083,193,2869,OC,5010,CS,OC
24,300088,193,2942,BC,1419,EC,BC
25,300890,193,2977,SC,2712,BT,SC
26,336665,192.9,3074,BC,1014,CS,OC
27,264529,192.735,3182,MBCV,2025,CS,MBCV
28,322701,192.645,3255,BC,1211,EE,OC
29,296203,192.5,3410,BC,1321,MN,OC
30,267885,192.475,3539,BC,2711,EC,BC
31,269163,192.295,3670,BC,5986,IT,OC
32,291963,192.245,3714,BC,2653,CS,OC
33,248613,192.19,3756,MBC,1219,ME,OC
34,203305,192.155,3783,BC,1118,ME,OC
35,200179,192.1,3822,BC,2711,AD,BC
36,245808,192.02,3882,BC,3465,CS,BC
37,287238,192,4033,OC,1216,CS,OC
38,300594,192,4045,BC,1231,CS,OC
39,287670,191.935,4387,OC,1216,BM,OC
40,259399,191.9,4415,BC,2704,EC,OC
41,320886,191.835,4461,BC,2006,MY,BC
42,257071,191.835,4462,BC,1309,IT,OC
43,224922,191.835,4465,BC,2709,IT,BC
44,334347,191.825,4468,MBCDNC,5901,EE,MBCDNC
45,215462,191.815,4481,BC,2006,TX,BC
46,343934,191.775,4509,BC,1432,AD,OC
47,308959,191.7,4566,MBCV,3011,CS,MBCV
48,256170,191.635,4625,BC,2706,EC,OC
49,335070,191.525,4709,MBCDNC,2712,BT,MBCDNC
50,232501,191.5,4764,BC,1149,EC,OC
51,307481,191.5,4778,OC,3819,CS,OC
52,330757,191.5,4886,SC,2025,CS,SC
53,344568,191.5,4925,OC,2615,ME,OC
54,220095,191.46,4967,BC,2702,EC,BC
55,271508,191.37,5044,BC,4960,EC,OC
56,311624,191.35,5069,BC,2,PP,BC
57,351001,191.35,5071,BC,4960,EC,OC
58,265566,191.295,5132,BC,3465,CS,BC
59,332173,191.25,5173,BC,4974,EE,OC
60,227635,191.23,5203,BC,1419,AD,BC
61,291788,191.155,5275,BC,2005,CE,BC
62,209869,191.095,5328,OC,1113,EI,OC
63,361553,191.09,5337,BC,2711,EC,BC
64,339750,191.065,5355,BC,2702,FD,OC
65,240663,191.01,5399,BC,1216,EC,OC
66,279491,191,5509,MBC,1,XM,OC
67,287597,191,5588,MBCV,1315,CE,MBCV
68,289804,191,5652,BC,1304,EC,BC
69,328072,158,5671A,MBCDNC,2006,PR,MBCDNC
70,270565,191,5672,SC,2005,EE,SC
71,371759,190.985,5694,OC,2620,CS,OC
72,243705,190.975,5705,BC,1014,IT,OC
73,209202,190.91,5761,BC,2719,IT,BC
74,222593,190.835,5823,MBCDNC,2,PM,MBCDNC
75,354046,190.76,5890,BC,3011,CS,BC
76,213002,190.68,5967,BC,2711,EC,BC
77,225917,190.635,6016,BC,5,CS,OC
78,262700,190.58,6069,MBC,3795,CS,OC
79,288047,190.56,6095,SC,2025,CS,SC
80,300565,190.525,6133,BC,1317,EC,BC
81,250249,190.505,6156,BC,2702,AD,BC
82,229491,190.5,6254,BC,2722,IT,BC
83,213051,190.5,6260,SC,1450,CS,SC
84,360120,190.5,6266,BC,2709,IT,BC
85,283673,190.5,6307,BC,2006,AS,BC
86,323476,190.5,6324,BC,2005,CE,BC
87,336672,190.5,6329,OC,1324,CS,OC
88,342840,190.495,6403,BC,1210,EC,OC
89,243440,190.47,6426,MBCDNC,2005,ME,MBCDNC
90,225554,190.385,6496,MBCV,1211,EC,MBCV
91,355179,190.385,6507,MBCDNC,2,PP,MBCDNC
92,333077,190.34,6538,SC,2007,EE,SC
93,329420,190.305,6567,BC,4962,EC,OC
94,244733,190.285,6608,MBCDNC,2711,EC,MBCDNC
95,262691,190.27,6617,MBCDNC,2706,CS,OC
96,311651,190.17,6720,SC,3425,CS,OC
97,255221,190.15,6737,MBCV,2,PM,MBCV
98,281422,190.15,6742,MBCV,2006,ES,MBCV
99,256648,190.11,6785,BCM,4,RP,BCM
100,204099,190.105,6787,BC,2006,FY,BC
101,278533,190.095,6795,BC,2719,IT,BC
102,350570,190.09,6798,BC,2711,EE,OC
103,222775,190.065,6821,BC,1,XM,OC
104,306188,190,6911,OC,2005,PR,OC
105,329821,190,6960,MBCV,1309,CS,MBCV
106,347969,190,6973,BC,2608,EC,OC
107,287064,190,6995,BC,2006,MY,BC
108,218073,190,7008,BC,5904,EC,OC
109,373800,190,7042,BC,5986,EC,OC
110,307749,190,7055,OC,2702,CT,OC
111,351183,190,7078,BC,1210,CO,OC
112,361296,190,7096,OC,5010,CS,OC
113,340104,190,7104,MBCV,1516,CS,MBCV
114,326840,190,7136,BCM,1317,BT,BCM
115,320163,190,7199,BC,2702,EC,BC
116,234376,190,7211,BC,1317,AL,BC
117,284476,190,7216,BC,5910,AD,OC
118,358689,190,7251,BC,2711,AD,BC
119,367803,190,7273,BC,1304,EC,BC
120,348335,190,7293,BC,2712,ME,OC
121,261912,190,7345,SC,4,AU,SC
122,259882,190,7362,OC,1422,CS,OC
123,222736,190,7421,BC,5910,CB,OC
124,302871,190,7429,BC,2702,BM,OC
125,287415,190,7445,BC,1211,EE,OC
126,245741,190,7450,MBCDNC,1315,CE,MBCDNC
127,293393,190,7452,BC,3819,CS,OC
128,279361,190,7462,BC,1112,CS,BC
129,357851,190,7470,BC,2,AP,BC
130,260257,190,7484,OC,3011,BT,OC
131,313727,190,7489,OC,1450,ME,OC
132,325726,189.99,7518,SC,2,PP,SC
133,330813,189.955,7549,MBCV,2603,CS,MBCV
134,269806,189.955,7555,BC,1118,CS,OC
135,270106,189.9,7597,OC,4678,CS,OC
136,309486,189.82,7688,BCM,2,LE,OC
137,223813,189.8,7714,MBCV,2,PP,MBCV
138,320624,189.78,7732,BC,2706,AD,OC
139,341338,189.78,7739,BC,1317,EC,BC
140,259292,189.78,7740,BC,1304,EC,BC
141,229314,189.76,7756,BC,1026,CS,OC
142,253589,189.725,7802,BC,1211,BM,BC
143,285208,189.715,7814,MBCDNC,3830,CS,OC
144,355527,189.69,7838,BC,2764,CS,OC
145,271983,189.68,7854,BC,4962,CS,BC
146,279729,189.66,7877,MBCV,2005,PR,OC
147,285242,189.635,7906,SC,2005,EE,SC
148,206452,189.615,7912,MBCV,1113,IT,MBCV
149,254919,189.6,7930,BC,2711,EC,BC
150,205550,189.585,7939,MBCDNC,2711,CS,MBCDNC
151,260403,189.58,7951,BC,1317,EC,BC
152,216678,189.505,8021,BC,2615,MT,OC
153,341613,189.5,8029,BC,2025,EC,BC
154,290561,189.5,8068,BCM,1399,EC,BCM
155,272056,189.5,8099,BC,1516,CS,BC
156,281662,189.5,8118,BC,4,RP,BC
157,288074,189.5,8176,MBCV,1211,EC,MBCV
158,347016,189.5,8200,OC,2,CR,OC
159,340938,189.5,8232,BC,3805,CS,OC
160,334114,189.49,8350,BCM,1516,CS,BCM
161,222710,189.47,8378,MBCV,2709,IT,MBCV
