S NO,APPLN NO,AGGREGATE MARK,GENERAL RANK,GOVT RANK,COLLEGE CODE,BRANCH CODE,ALLOTTED CATEGORY
1,352308,171.5,32354,1290,2634,IT,BC
2,337932,161,48500,2686,2762,EC,OC
3,294895,160.99,48646,2699,1325,ME,OC
4,222601,159,51472,2940,2345,AG,OC
5,229092,158.5,52407,3035,3908,CS,BC
6,359284,158,52799,3074,2726,CS,SC
7,324788,157,53968,3182,2369,ME,MBC
8,310924,156.5,54777,3250,1413,AD,BC
9,323767,154.5,58233,3578,2347,CS,MBC
10,362517,153.5,59277,3705,2723,AD,BC
11,338979,152.5,60862,3873,3021,EC,MBC
12,284711,151,63231,4097,2707,CJ,BC
13,390503,151,63241,4100,4960,EE,SC
14,364140,151,63293,4104,2734,EC,BC
15,318581,150.76,63586,4135,1516,ME,MBC
16,342441,150.5,63887,4169,2718,EE,SC
17,408629,150.5,64193,4205,2618,CD,SC
18,409714,150,64991,4272,2716,CS,BC
19,295436,149,65829,4363,1114,AM,BC
20,267395,148,67400,4524,1513,EC,BC
21,239152,148,67647,4540,2618,EC,SC
22,289406,147.5,68701,4650,2763,CE,OC
23,264451,147.285,68789,4664,3021,CS,SC
24,403588,147.185,68797,4665,3021,ME,OC
25,306996,147,68858,4676,5009,EE,MBC
26,269411,147,69385,4716,1014,CE,OC
27,262587,146.5,69713,4754,2634,ME,OC
28,274300,146.275,70288,4815,5022,ME,OC
29,222392,146,70754,4863,2708,ME,OC
30,378592,146,70920,4884,1106,AE,BC
31,290629,146,70963,4889,2648,CS,BC
32,406422,145,71785,4992,1422,MD,MBC
33,387383,145,72232,5050,2338,AD,BC
34,344025,144.5,73119,5139,2683,CS,MBC
35,306627,144.5,73126,5143,4969,CS,OC
36,277203,144,73263,5160,4864,EC,BC
37,287629,143.5,74539,5289,2727,IT,SC
38,344402,143.5,74704,5316,2659,AD,OC
39,339964,143.5,74721,5318,1322,SC,BC
40,393082,143,75011,5358,2727,FD,MBC
41,318090,143,75108,5370,2734,TS,BC
42,398731,142,76796,5542,1412,EE,MBC
43,372198,142,76876,5556,3813,IT,OC
44,348058,142,76925,5560,3016,EC,SC
45,277739,141.5,77134,5588,1504,IT,SC
46,345712,141,78025,5686,1322,AG,BC
47,366699,141,78500,5732,2673,EC,BC
48,228494,140.5,78808,5766,2743,SC,ST
49,289042,140.5,79001,5785,2005,IB,SC
50,368256,140.5,79054,5790,2683,CS,BC
51,287931,140,79492,5855,5,CF,SC
52,340169,140,80076,5912,2736,AD,MBC
53,342925,139.5,80533,5962,4960,BM,MBC
54,235069,139.5,80542,5963,1213,CS,OC
55,371000,139.5,80701,5982,2716,AG,OC
56,235453,139,81476,6073,1210,ME,OC
57,343689,139,81485,6074,1424,EC,MBC
58,242638,138.5,81819,6123,1414,EC,OC
59,346387,138.415,82379,6183,1445,ME,OC
60,351361,138.265,82383,6185,1110,AD,MBC
61,348929,138,82515,6202,2608,EE,OC
62,359377,138,82833,6236,2622,AD,MBC
63,336818,137.5,83791,6354,4959,CS,MBC
64,362763,137,83968,6380,2342,EC,SC
65,313371,137,84140,6393,2642,EE,MBC
66,329233,137,84372,6417,2624,AG,SC
67,352849,137,84550,6435,2710,SC,BCM
68,350849,136.5,84662,6457,1,PT,ST
69,295419,136.5,85165,6514,2610,AD,MBC
70,321765,136.5,85259,6527,2753,IT,OC
71,343379,136,85397,6544,3011,XC,SC
72,384060,136,85734,6580,2606,EC,OC
73,253597,135.5,86753,6697,3830,AD,MBC
74,203304,135.5,86802,6703,3807,CS,BC
75,300984,135,86856,6711,1311,EC,BC
76,307240,135,87327,6774,2618,ME,BC
77,313687,134.5,87772,6843,2632,AM,MBC
78,327469,134.5,87856,6850,1210,EC,SC
79,321594,134.5,88046,6868,1120,EE,BC
80,245350,134.5,88340,6902,3011,BT,BC
81,296907,134,88590,6934,1202,IT,BC
82,302348,133.5,89434,7035,2769,CS,MBC
83,288910,133.5,89834,7090,2729,IT,SC
84,344336,133.045,89905,7096,1325,ME,SC
85,228752,133,90018,7112,2731,EE,OC
86,220749,132.5,90718,7217,1516,ME,BC
87,340987,132.5,90872,7231,2618,CE,MBC
88,300092,132.5,90984,7238,2702,CE,BC
89,317307,132.5,91019,7241,1401,EC,MBC
90,311395,132,92118,7388,2729,EC,BC
91,335286,131.5,92636,7450,4994,EC,MBC
92,308185,131.5,92971,7488,1226,ME,OC
93,352951,131.5,92983,7490,2634,IT,MBC
94,403628,131.475,93069,7504,2620,EC,SC
95,341265,130.76,93849,7622,2621,CS,SC
96,362283,130.5,94005,7644,2613,EE,OC
97,285018,130.5,94046,7647,2607,MZ,OC
98,268378,130.5,94416,7698,2607,CB,MBC
99,295068,130,94623,7734,2704,EE,BC
100,382756,130,94674,7739,2753,IT,MBC
101,378523,130,94688,7741,1212,CS,OC
102,299889,130,94690,7743,2716,EC,BC
103,232498,130,94697,7744,2726,FD,BC
104,331723,130,94700,7745,2751,AD,BC
105,350927,130,94724,7747,1412,CB,BC
106,211819,130,94727,7748,1106,CS,BC
107,354903,130,94733,7751,2618,EE,BCM
108,290866,130,94769,7754,1219,AU,BC
109,379761,130,94771,7755,2635,AD,MBC
110,354870,130,94791,7756,2624,CH,MBC
111,270724,130,94812,7758,4993,EC,OC
112,296495,130,94838,7760,1137,EC,MBC
113,311355,130,94840,7762,3425,EE,BC
114,314923,130,94841,7763,5901,ME,SC
115,264240,130,94859,7765,4954,CS,MBC
116,289096,130,94863,7766,1409,BT,MBC
117,366985,130,94865,7767,2628,SC,BC
118,340273,130,94889,7769,4967,EC,OC
119,291226,130,94926,7775,2776,AD,OC
120,206882,130,94928,7776,2329,XS,SC
121,289498,130,94947,7778,2609,CY,MBC
122,225524,130,94977,7781,2734,SB,SC
123,266709,130,95002,7782,2732,IT,BC
124,327259,130,95026,7784,1112,IT,SCA
125,404385,130,95033,7785,2719,CE,OC
126,373332,130,95043,7785A,2711,CE,BC
127,227206,130,95050,7786,2751,AD,BC
128,244377,130,95052,7787,4957,EC,BC
129,331202,130,95056,7788,2627,BM,OC
130,269403,130,95071,7789,1411,BT,BC
131,411801,130,95073,7790,4999,AD,SC
132,322788,130,95122,7794,2642,EE,BC
133,331069,130,95219,7803,1605,IT,OC
134,276502,130,95246,7804,2656,ME,MBC
135,307055,130,95256,7805,3830,AL,BC
136,294679,130,95262,7807,1414,CS,BC
137,213307,130,95274,7808,1316,AD,OC
138,354751,130,95314,7814,1605,IT,MBC
139,358925,130,95320,7815,4964,CS,BC
140,316143,130,95323,7816,2357,CS,MBC
141,351380,130,95334,7817,1114,AD,MBC
142,362321,130,95348,7818,3454,AG,MBC
143,241410,130,95359,7821,3807,SC,BC
144,400151,130,95387,7826,2302,BM,MBC
145,379424,130,95399,7827,2609,AD,MBC
146,370265,130,95413,7830,1518,CS,BC
147,317233,129.5,95426,7835,5832,EC,BC
148,217071,129.5,95429,7837,2723,CE,MBC
149,275422,129.5,95435,7838,2611,CI,BC
150,316127,129.5,95440,7839,1106,EC,BC
151,362546,129.5,95485,7845,4980,CE,OC
152,261162,129.5,95493,7846,3812,EI,OC
153,386122,129.5,95504,7847,3905,EC,BC
154,263222,129.5,95515,7848,1505,CS,BC
155,338033,129.5,95572,7852,4962,EE,MBC
156,324709,129.5,95575,7854,2611,CY,MBC
157,257460,129.5,95607,7859,4993,AG,MBC
158,257702,129.5,95618,7860,1140,IT,SC
159,220758,129.5,95634,7863,3817,CE,OC
160,300753,129.5,95637,7864,3803,CH,OC
161,299395,129.5,95658,7866,3011,EE,BC
162,286607,129.5,95665,7867,2702,BT,BC
163,363423,129.5,95689,7870,4960,CE,MBC
164,285395,129.5,95700,7871,3831,IT,BC
165,322179,129.5,95703,7872,2621,EC,MBC
