general_rank,cutoff,community,community_rank
1,200.0,BC,1
2,200.0,SC,1
3,200.0,BC,2
4,200.0,MBC,1
5,200.0,BC,3
6,200.0,OC,
7,200.0,BC,4
8,200.0,BC,5
9,200.0,MBC,2
10,200.0,MBC,3
11,200.0,MBC,4
12,200.0,BC,6
13,200.0,MBC,5
14,200.0,OC,
15,200.0,OC,
16,200.0,BC,7
17,200.0,MBC,6
18,200.0,SC,2
19,200.0,BC,8
20,200.0,MBC,7
21,200.0,OC,
22,200.0,MBC,8
23,200.0,SC,3
24,200.0,BC,9
25,200.0,BC,10
26,200.0,MBC,9
27,200.0,MBC,10
28,200.0,BC,11
29,200.0,BC,12
30,200.0,OC,
31,200.0,BC,13
32,200.0,BC,14
33,200.0,BC,15
34,200.0,BC,16
35,200.0,BC,17
36,200.0,BC,18
37,200.0,BC,19
38,200.0,BC,20
39,200.0,OC,
40,200.0,MBC,11
41,200.0,BC,21
42,200.0,BC,22
43,200.0,OC,
44,200.0,BC,23
45,200.0,BC,24
46,200.0,BC,25
47,200.0,BC,26
48,200.0,BCM,1
49,200.0,BC,27
50,200.0,BC,28
51,200.0,BC,29
52,200.0,BC,30
53,199.667,OC,
54,199.667,MBC,12
55,199.667,BC,31
56,199.5,MBC,13
57,199.5,BC,32
58,199.5,BC,33
59,199.5,MBC,14
60,199.5,BC,34
61,199.5,BC,35
62,199.5,OC,
63,199.5,BCM,2
64,199.5,MBC,15
65,199.5,BC,36
66,199.5,BC,37
67,199.5,BC,38
68,199.5,BC,39
69,199.5,MBC,16
70,199.5,BC,40
71,199.5,BC,41
72,199.5,BC,42
73,199.5,BC,43
74,199.5,OC,
75,199.5,BC,44
76,199.5,MBC,17
77,199.5,BC,45
78,199.5,SC,4
79,199.5,BC,46
80,199.5,SC,5
81,199.5,BC,47
82,199.5,BC,48
83,199.5,MBC,18
84,199.5,BC,49
85,199.5,BC,50
86,199.5,BC,51
87,199.5,BC,52
88,199.5,MBC,19
89,199.5,BC,53
90,199.5,MBC,20
91,199.5,BC,54
92,199.5,MBC,21
93,199.5,MBC,22
94,199.5,BC,55
95,199.5,MBC,23
96,199.5,BC,56
97,199.5,BC,57
98,199.5,MBC,24
99,199.5,BC,58
100,199.5,BC,59
101,199.5,MBC,25
102,199.5,BC,60
103,199.5,BC,61
104,199.5,BC,62
105,199.5,BC,63
106,199.5,MBC,26
107,199.5,BC,64
108,199.5,BC,65
109,199.5,BC,66
110,199.5,BC,67
111,199.5,BC,68
112,199.333,BC,69
113,199.333,BC,70
114,199.333,OC,
115,199.333,OC,
116,199.333,BC,71
117,199.333,BC,72
118,199.333,BC,73
119,199.0,BC,74
120,199.0,BC,75
121,199.0,BC,76
122,199.0,BC,77
123,199.0,MBC,27
124,199.0,MBC,28
125,199.0,BC,78
126,199.0,BC,79
127,199.0,BC,80
128,199.0,OC,
129,199.0,BC,81
130,199.0,BC,82
131,199.0,BC,83
132,199.0,BC,84
133,199.0,BC,85
134,199.0,BC,86
135,199.0,BC,87
136,199.0,SC,6
137,199.0,BC,88
138,199.0,MBC,29
139,199.0,BC,89
140,199.0,BC,90
141,199.0,BC,91
142,199.0,MBC,30
143,199.0,BC,92
144,199.0,BC,93
145,199.0,MBC,31
146,199.0,BCM,3
147,199.0,OC,
148,199.0,BC,94
149,199.0,SC,7
150,199.0,BC,95
151,199.0,BC,96
152,199.0,OC,
153,199.0,BC,97
154,199.0,BC,98
155,199.0,BC,99
156,199.0,BC,100
157,199.0,BC,101
158,199.0,MBC,32
159,199.0,BC,102
160,199.0,BC,103
161,199.0,OC,
162,199.0,BC,104
163,199.0,OC,
164,199.0,BC,105
165,199.0,SC,8
166,199.0,BC,106
167,199.0,BC,107
168,199.0,BC,108
169,199.0,BC,109
170,199.0,OC,
171,199.0,BC,110
172,199.0,MBC,33
173,199.0,BC,111
174,199.0,BC,112
175,199.0,BC,113
176,199.0,BC,114
177,199.0,BC,115
178,199.0,BC,116
179,199.0,BC,117
180,199.0,OC,
181,199.0,BC,118
182,199.0,BC,119
183,199.0,MBC,34
184,199.0,BC,120
185,199.0,BC,121
186,199.0,OC,
187,199.0,BC,122
188,199.0,MBC,35
189,199.0,BC,123
190,199.0,BC,124
191,199.0,BC,125
192,199.0,OC,
193,199.0,BC,126
194,199.0,BC,127
195,199.0,BC,128
196,199.0,BC,129
197,199.0,BC,130
198,199.0,BC,131
199,199.0,BC,132
200,199.0,MBC,36
201,199.0,MBC,37
202,199.0,BC,133
203,199.0,BCM,4
204,199.0,BC,134
205,199.0,SC,9
206,199.0,MBC,38
207,199.0,BC,135
208,199.0,MBC,39
209,199.0,MBC,40
210,199.0,BCM,5
211,199.0,BC,136
212,199.0,BC,137
213,198.667,BC,138
214,198.667,BC,139
215,198.5,BC,140
216,198.5,BC,141
217,198.5,BC,142
218,198.5,MBC,41
219,198.5,BCM,6
220,198.5,BC,143
221,198.5,MBC,42
222,198.5,MBC,43
223,198.5,MBC,44
224,198.5,MBC,45
225,198.5,BC,144
226,198.5,BC,145
227,198.5,BCM,7
228,198.5,BC,146
229,198.5,MBC,46
230,198.5,MBC,47
231,198.5,BC,147
232,198.5,BC,148
233,198.5,MBC,48
234,198.5,BC,149
235,198.5,BC,150
236,198.5,BC,151
237,198.5,BC,152
238,198.5,MBC,49
239,198.5,BC,153
240,198.5,OC,
241,198.5,MBC,50
242,198.5,MBC,51
243,198.5,MBC,52
244,198.5,BC,154
245,198.5,MBC,53
246,198.5,OC,
247,198.5,BC,155
248,198.5,OC,
249,198.5,BC,156
250,198.5,BC,157
251,198.5,BC,158
252,198.5,BC,159
253,198.5,BC,160
254,198.5,OC,
255,198.5,MBC,54
256,198.5,BC,161
257,198.5,BC,162
